"","gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","r_all","r_Control","r_LRTI","delta_r_LRTI_Control"
"2280","WWOX",-0.503085027019095,0.389411557835695,-0.0819410371547163,0.980682888930444,0.0977842804432802,-0.0462870517198785,0.0904833688660463,0.136770420585925
"2281","PIM1",0.879458047059518,0.00194418596704229,0.0129141466311914,0.998419475690512,0.198955016156773,0.320053434402601,0.183363244885097,-0.136690189517504
"2282","CLEC1A",-0.168427820111724,0.815201928908877,0.0524922994690138,0.998419475690512,-0.0022498024827202,0.113423031160967,-0.023236209968264,-0.136659241129232
"2283","PIP4K2A",0.261491885170261,0.286536108078172,-0.180933875330414,0.998419475690512,-0.0783797789724488,-0.146291804830495,-0.00969666302169445,0.136595141808801
"2284","SNRPA",0.11764535113846,0.840796473273367,0.433653404835264,0.791573009435334,-0.0781914185241496,0.0134537538252579,-0.123126055255215,-0.136579809080473
"2285","ARHGAP24",0.0398347001040876,0.95086507697425,-0.0263450594565993,0.998419475690512,0.385979533383535,0.481202347925196,0.344622641937782,-0.136579705987414
"2286","TAF12",0.10699081745098,0.81932230857114,0.0107849200710226,0.998419475690512,0.132415254329595,0.226214281853271,0.0896854665823829,-0.136528815270888
"2287","ESS2",0.262062600227833,0.511414401569523,-0.0699446377657233,0.998419475690512,-0.1464184882563,-0.216286210808236,-0.0799261162772722,0.136360094530964
"2288","PSMD11",0.0486287181964515,0.910308501132521,0.286365831610842,0.964835353022169,-0.17213151936108,-0.297355970918718,-0.16102822439438,0.136327746524338
"2289","BMX",0.622761497306414,0.253741921733006,-0.0145564898635582,0.998419475690512,-0.220197782262296,-0.324486562118273,-0.188183509552184,0.13630305256609
"2290","RAB31",0.0833219534197677,0.854954243750609,0.408639728161996,0.844219646885179,0.282798893025372,0.164097254950237,0.300297273348147,0.13620001839791
"2291","ABHD4",-0.0379115463114404,0.958551654917781,-0.127845955323032,0.89986538244331,0.116964291451077,0.0102388842908174,0.146280579904685,0.136041695613868
"2292","PGLS",0.124326349461274,0.794726904681466,0.24558049950742,0.998419475690512,-0.00429441233557485,0.0811679182963597,-0.0548339399315741,-0.136001858227934
"2293","RHOC",0.567809191028425,0.107748660273847,-0.0429660431660154,0.998419475690512,-0.0049578398725805,0.0722163980283732,-0.0637576230779447,-0.135974021106318
"2294","LYPLAL1",-0.754219236582815,0.105453717048422,-0.0146873231737415,0.998419475690512,-0.231236344887016,-0.348368360717112,-0.212463924818971,0.135904435898141
"2295","IL2RG",0.285496542832839,0.643409664348631,-0.159582317449655,0.915163423081306,-0.0984312402024731,-0.158537448337145,-0.0227177995291656,0.13581964880798
"2296","MRI1",-0.270888292051743,0.628873311442005,-0.340644881928842,0.324104568868761,0.121936581459481,-0.0111498313362471,0.124493148201267,0.135642979537514
"2297","DDIT3",0.330697505072305,0.343492307790766,-0.0662576978125326,0.998419475690512,0.248339340170476,0.189578808140793,0.325161012157267,0.135582204016475
"2298","S100A12",0.773475019389576,0.386571380734505,0.527220434690107,0.652101980055702,0.254004971128037,0.118974985326883,0.254556166859474,0.135581181532591
"2299","RACGAP1",-0.342521696812111,0.492758634453204,0.0334314394765518,0.998419475690512,-0.0290612711549853,-0.0888447283112026,0.0466841621704806,0.135528890481683
"2300","PDCD6",0.0979757367152316,0.735454620940974,0.0842426735473309,0.998419475690512,-0.22211086764261,-0.145054977284722,-0.280504017150401,-0.135449039865679
"2301","TMEM167A",0.149551428242632,0.704400617112373,0.0388173654890469,0.998419475690512,-0.012197746735925,0.0864839429770782,-0.0489069821252048,-0.135390925102283
"2302","PAM",-0.19144474410114,0.574083689950691,-0.182359837284098,0.998419475690512,0.156074350562103,0.241126721170691,0.105809524377319,-0.135317196793372
"2303","EZR",-0.0527093027410116,0.907336765121023,0.230442017132857,0.998419475690512,0.219387292805475,0.308297970670893,0.173019034194724,-0.135278936476169
"2304","AREG",-0.261849614330331,0.730820762377011,-0.102172191098613,0.998419475690512,-0.218017679480495,-0.112576505147501,-0.247807903316665,-0.135231398169164
"2305","TMEM167B",-0.0246955529569796,0.938637179710269,-0.00403693915847709,0.998419475690512,0.296994049653609,0.380052044889773,0.244823067725308,-0.135228977164465
"2306","UBB",-0.207951319622557,0.591813455797594,0.22798715894711,0.998419475690512,-0.00335307570736566,0.10235748205549,-0.0327139832887288,-0.135071465344219
"2307","DCTN2",-0.267496685288798,0.350434634367511,0.131403656689903,0.998419475690512,0.0960062360090947,0.204801588013823,0.0698903932743902,-0.134911194739432
"2308","NUP98",-0.19204927135616,0.566640377812889,-0.0891475516362403,0.998419475690512,0.261384134527935,0.331626510106391,0.19696955071588,-0.134656959390512
"2309","UBTD2",0.103495990997529,0.82703585227619,0.0459713131855439,0.998419475690512,0.0272601776647247,-0.0719807663400027,0.0626438756511278,0.13462464199113
"2310","HEY1",-0.689227133107076,0.254100836254447,-0.0294899240604644,0.998419475690512,0.0239630336097835,0.0693495445772204,-0.0652528060327611,-0.134602350609981
"2311","DAZAP1",-0.110859433366256,0.804871661061754,-0.0706451329025565,0.998419475690512,0.122764760740861,0.0320699311029796,0.166610911112174,0.134540980009194
"2312","CCDC149",0.000791775641378239,0.999379515836943,0.000414092856506067,0.998433450236531,0.0877663492339022,-0.00302656382613228,0.131470290700273,0.134496854526406
"2313","FAM3C",-0.0593543976132994,0.907382448464739,-0.0572636289459764,0.998419475690512,-0.037816685783753,-0.147489524975782,-0.0133150927379582,0.134174432237824
"2314","HAUS1",0.00205815721495683,0.998651027451072,0.0110974502382946,0.998419475690512,0.143869333417449,0.232155627467155,0.0982295100413157,-0.13392611742584
"2315","BET1L",-0.130724556897108,0.739312993134833,-0.0719027930274887,0.998419475690512,-0.01422328564584,0.0653856896012702,-0.068419724563829,-0.133805414165099
"2316","SFTPB",-0.316217210526402,0.701512060192712,-0.809788060369099,0.489329172537047,0.29038371902361,0.176419171405769,0.310197899183219,0.133778727777449
"2317","CLEC7A",0.492519736573324,0.230393898798705,0.0537686036610569,0.998419475690512,-0.0815530908944439,0.0066602517885549,-0.127012252826072,-0.133672504614627
"2318","TTC33",0.0759217986332242,0.885917174098569,0.31920719171694,0.706375430478359,0.213838509249252,0.298385889410622,0.16476768172008,-0.133618207690541
"2319","SPINT2",0.0276953572749885,0.959784463013115,0.00763824911485533,0.998419475690512,0.266776224251881,0.365318329761246,0.23183614113698,-0.133482188624266
"2320","TNFRSF14",0.24719904899175,0.543997471601539,-0.00117750035607441,0.998419475690512,0.128196226714854,0.23634073325827,0.103068775044978,-0.133271958213292
"2321","BNIP3L",0.160034451494507,0.694966334712374,-0.00378152665898036,0.998419475690512,-0.0676919177427222,0.0157371605925765,-0.117509452570554,-0.13324661316313
"2322","KIF22",0.291053083311123,0.571980355833318,0.0281373037628317,0.998419475690512,-0.131112540699606,-0.22756202605705,-0.0943251108326495,0.1332369152244
"2323","ENO3",-0.535091590674774,0.456945026199833,-0.315193494016543,0.142818578284896,0.0261430593281672,-0.110716297265143,0.0225172746879104,0.133233571953054
"2324","PLXNB2",-0.53643665769151,0.0597316049813165,0.079602063118291,0.998419475690512,-0.111909667987749,0.000359997201130618,-0.132862827391449,-0.13322282459258
"2325","CANX",-0.301970419081693,0.139824049523317,-0.0403577781264685,0.998419475690512,0.0166588040168315,0.0719831238562618,-0.0611637874697186,-0.13314691132598
"2326","RPRD1B",-0.0267859681392772,0.962472754256285,0.0198430231457913,0.998419475690512,0.0501469350053751,0.125085161414902,-0.00793967450485461,-0.133024835919756
"2327","SMAD1",-0.335882307346064,0.648838967860446,0.0104724000350282,0.998419475690512,0.0524405533124042,-0.0409796806122685,0.092021187435738,0.133000868048007
"2328","CYB5R2",-0.0445595648395855,0.957809802622088,-0.0115934246536995,0.998419475690512,0.0131626308121211,0.114609829371685,-0.0183144435891107,-0.132924272960796
"2329","FCGR3A",0.26877970299016,0.598080560712398,-0.318783285720136,0.998419475690512,0.107251889210213,0.214065729735554,0.0812675732018033,-0.13279815653375
"2330","COMMD1",0.0946192817211524,0.885917174098569,0.0890416691087219,0.998419475690512,-0.252516523773437,-0.349474982406051,-0.216959016065831,0.13251596634022
"2331","HK2",0.325459630851967,0.273188441651796,0.26543867916889,0.998419475690512,0.0662517878189424,-0.039963728786996,0.0925107411823691,0.132474469969365
"2332","TIMM21",-0.533125102513535,0.37509456104511,-0.0276221604510265,0.998419475690512,-0.0689365899840948,-0.161624867882585,-0.0292234410244091,0.132401426858176
"2333","FAHD1",-0.0722535655090603,0.915985650215364,0.288812007374319,0.998419475690512,-0.0258243632177041,0.0671876965929534,-0.0651918679961215,-0.132379564589075
"2334","BZW2",-0.221839806708342,0.627624855673597,0.0744210624043984,0.998419475690512,0.018376638239686,-0.0692460932454897,0.0629790750121548,0.132225168257644
"2335","SCARF1",0.268346909044917,0.694836634835257,0.32876810972095,0.464129787532698,0.127365305873814,0.0278632915988092,0.160016988635009,0.132153697036199
"2336","TNFSF12",-0.320689649859203,0.606987061377891,-0.12887262010664,0.853216168095328,0.181955703323399,0.068410563261388,0.200486855503854,0.132076292242466
"2337","PGRMC1",-0.118703557351529,0.8275902342567,-0.170276673642703,0.868717864261385,0.344513959738121,0.401163851366117,0.269140358567779,-0.132023492798338
"2338","CASP8",0.314628946453816,0.34003625547955,0.000685605304960551,0.998419475690512,0.00660952915167632,0.103117886013335,-0.0288919606619204,-0.132009846675255
"2339","EMC4",-0.0710873934963209,0.882952836035085,0.219062906328915,0.667314755509568,-0.017416474008443,0.103865056023963,-0.027941824120711,-0.131806880144674
"2340","PSMB9",1.75113877792081,1.25914448190335e-05,0.145383532042158,0.998419475690512,0.025771087184378,-0.186553625794204,-0.0547685673721145,0.131785058422089
"2341","IFIT2",4.0791927956358,1.68383887145097e-06,0.478794236448584,0.216876538083193,0.659520916106804,0.513813198708825,0.645579676704869,0.131766477996044
"2342","CEBPG",-0.162043903928502,0.695795168369526,-0.00449576788880569,0.998419475690512,0.0936910635780424,0.00102870599850647,0.132769316409823,0.131740610411317
"2343","HRAS",-0.195606846810609,0.802295813107339,0.0354527892505587,0.998419475690512,0.00983906653652483,0.115741676668018,-0.0159628519237367,-0.131704528591754
"2344","TCEAL3",-0.737764056282701,0.0549491621896388,-0.111548814433919,0.998419475690512,0.232215431393397,0.286444729502546,0.154816045538868,-0.131628683963678
"2345","RNASE1",0.71820662358933,0.373485482293905,-1.50961526169736,0.0104147171666229,0.215309593904186,0.398993666448232,0.267397679186842,-0.13159598726139
"2346","SRSF7",0.221463250390259,0.450101589406826,0.204882670916806,0.998419475690512,-0.0300999028425838,-0.143283883868681,-0.011944010485884,0.131339873382797
"2347","ATAD1",0.364761209646575,0.328782243848662,0.481826234007777,0.210904001530224,-0.113216572564603,-0.0932326607221316,-0.224567299417449,-0.131334638695317
"2348","PDGFC",-0.334764044754879,0.588272514221546,-0.105129630790564,0.843121181677977,0.135687252105455,0.193205764390965,0.0619518229968364,-0.131253941394129
"2349","PPM1M",0.305880820580901,0.399576616951996,0.00878647225836681,0.998419475690512,-0.052979720638114,-0.145164178126011,-0.0140264689032573,0.131137709222754
"2350","SCGB3A1",-2.98202418014462,0.000499455262306468,-0.43798735313247,0.998419475690512,0.33381874129107,0.429483830325132,0.29839397976736,-0.131089850557773
"2351","GFAP",-0.0936566246673467,0.93159978511032,-0.0252806981533654,0.998419475690512,-0.0164273157026138,-0.117027098852198,0.014048181635507,0.131075280487705
"2352","RIOX2",-0.215916512481843,0.74931138903033,0.322859184120503,0.993246420374571,0.0883357902783842,0.196047798468964,0.0649844941888306,-0.131063304280134
"2353","EIF2S1",-0.172694069131876,0.725201818794902,0.432075210284499,0.998419475690512,0.0177028550344618,0.123187153716245,-0.00783974333687269,-0.131026897053117
"2354","DEFB1",0.286524690430524,0.848830000908909,0.283294024024346,0.998419475690512,0.0994349819480607,-0.0209066029235752,0.110064630806647,0.130971233730222
"2355","HNMT",-0.673559360951739,0.062792784750178,-0.356713223499907,0.724015366092508,0.0895293395920242,-0.0292003233482056,0.101620721542648,0.130821044890853
"2356","BIK",0.529914812875795,0.44852697267545,-0.043191000509313,0.998419475690512,0.00770883862681114,-0.0821449764107808,0.0486564024728883,0.130801378883669
"2357","FH",-0.68671571980308,0.0645629165142567,-0.272364515186317,0.998419475690512,0.149958110348327,0.044538867097489,0.175177912102812,0.130639045005323
"2358","KAT2A",0.247718954808721,0.620360970716254,0.125955318801908,0.954918486558191,0.0290186556353136,0.097659260800204,-0.0328440894856451,-0.130503350285849
"2359","LILRA6",0.410875017400155,0.256914537845439,0.345628591835164,0.564881389423587,-0.0115616335978338,0.0268669265158027,-0.103476132641947,-0.13034305915775
"2360","CLEC10A",0.358989797420732,0.601023879120381,-0.0189711389726927,0.998419475690512,-0.0101341239798804,-0.0821574566541496,0.0479984060887452,0.130155862742895
"2361","BRPF1",-0.2911732728307,0.323759973272291,0.0742863042912043,0.998419475690512,-0.0940803287978144,-0.137547083683778,-0.0075539574880074,0.129993126195771
