"gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","sig_class"
"TLDC2",1.4098610983946,0.0588078201915867,-0.0190375433188057,0.998419475690512,"Not Significant"
"NUDT9",-0.707539584735295,0.0588078201915867,0.201942497851664,0.998419475690512,"Not Significant"
"PLXNB2",-0.536302642123424,0.0588845983799698,0.079602063118291,0.998419475690512,"Not Significant"
"BCL2L14",1.23688214924161,0.060627648549375,-0.0581788536981601,0.998419475690512,"Not Significant"
"GLTP",-0.430735694533916,0.0631549758983383,0.0770449763183537,0.998419475690512,"Not Significant"
"TPM3",0.366140619872539,0.064283360554154,-0.0156390738874839,0.998419475690512,"Not Significant"
"CHMP1A",0.419725836767185,0.0648318313203911,-0.0408919423616057,0.998419475690512,"Not Significant"
"TFRC",-0.629054814689497,0.0653507216801484,0.0709335886524041,0.998419475690512,"Not Significant"
"TAFA2",0.855439813839381,0.0664031054102159,-0.0318016087579198,0.998419475690512,"Not Significant"
"EIF3B",-0.465624377897821,0.0664031054102159,0.0565559742263495,0.998419475690512,"Not Significant"
"CIAO1",-0.448775497542858,0.0670006885893301,0.79883588227976,0.265864449909381,"Not Significant"
"CD47",0.51590023606317,0.0674495609392532,-0.0402315014607751,0.998419475690512,"Not Significant"
"BUD31",0.423515941698193,0.067456877109222,-0.0767707268723,0.998419475690512,"Not Significant"
"ERGIC1",-0.564139440824491,0.0702441837053803,0.123791698016069,0.998419475690512,"Not Significant"
"PYCR2",-0.577364613493021,0.0703186240493058,0.00339579668303563,0.998419475690512,"Not Significant"
"MLEC",-0.67512249835729,0.0711940269528712,0.267018936457162,0.998419475690512,"Not Significant"
"FAM162A",-0.727642667193431,0.0713270037558842,0.0476971180762236,0.998419475690512,"Not Significant"
"LONP1",-0.566583268974302,0.0718508269323711,0.358013938969036,0.856705671473268,"Not Significant"
"ASRGL1",-0.896788347570398,0.0722871073304618,0.0234507281242221,0.998419475690512,"Not Significant"
"KLRK1",0.973717560222154,0.0728125299038147,-0.0243398323325181,0.998419475690512,"Not Significant"
"ABHD14B",-0.795623316877221,0.0737927761172096,0.0518416297759561,0.998419475690512,"Not Significant"
"NEO1",-1.01045553487114,0.0741650931159131,0.012338134355199,0.998419475690512,"Not Significant"
"GALNT3",0.682505642087686,0.0752816506651857,-0.00906499845669084,0.998419475690512,"Not Significant"
"PIM2",0.607317775855787,0.0782067966436446,-0.0231478964564923,0.998419475690512,"Not Significant"
"CDK2AP1",-0.536752992467802,0.0816530035602635,0.000448357606490941,0.998805706404385,"Not Significant"
"NADK2",-0.640184992229841,0.0824325896827413,0.0629514882297769,0.998419475690512,"Not Significant"
"SND1",-0.450236260121769,0.0830401345228945,0.171470741282355,0.791573009435334,"Not Significant"
"C1orf43",0.302093562511445,0.0838516339697528,-0.0147626267091376,0.998419475690512,"Not Significant"
"UBL3",0.401594960728206,0.0841254052181291,-0.119829999486081,0.791573009435334,"Not Significant"
"MYCBP",0.730028737687404,0.0843932787205633,-0.0242120308009317,0.998419475690512,"Not Significant"
"CDKN1B",0.425885698809956,0.0858054838943821,-0.0734402418715904,0.998419475690512,"Not Significant"
"CD109",-0.575487603892455,0.0866741691338184,0.147589729899351,0.71955774706989,"Not Significant"
"CRIM1",-0.718720177673666,0.0875337618844081,0.0913232421090246,0.998419475690512,"Not Significant"
"A2M",-0.869103060538137,0.0881622447480855,0.470399784530217,0.857501682187315,"Not Significant"
"NECTIN2",0.442423224749122,0.0882405834510208,-0.00076788156632831,0.998419475690512,"Not Significant"
"NET1",-0.736995499968705,0.0882414808183066,0.0510658792130516,0.998419475690512,"Not Significant"
"AGO1",-0.351298510364075,0.0906219755016778,0.154589994130696,0.998419475690512,"Not Significant"
"BTN2A1",0.47358082520225,0.0906583257402092,-0.0405477416690465,0.998419475690512,"Not Significant"
"LPIN1",-0.535551835222848,0.0914561747028007,0.224849895111618,0.966961547562754,"Not Significant"
"NHP2",-0.586515963122874,0.0919588161249591,0.0487595305115306,0.998419475690512,"Not Significant"
"TAPBPL",0.517178820456894,0.0928758707861334,-0.0198615671620171,0.998419475690512,"Not Significant"
"MSRB1",0.665664446047991,0.0941418994293264,-0.054192792894314,0.998419475690512,"Not Significant"
"OSTF1",0.386177436582186,0.0958758555160607,-0.0534173123271608,0.998419475690512,"Not Significant"
"CLDN1",-0.995668230885254,0.0958862913574325,0.0530712467328661,0.998419475690512,"Not Significant"
"SDF2L1",-0.740271542848851,0.0961989959699457,0.552750584214994,0.101014253771789,"Not Significant"
