"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity","expected_bg_count","p_val","p_adj"
"P119","Erwinia amylovora",552,1,551,"","bacteria",5,0.057648369,NA,NA,100,85.6,0,0,NA,NA,0,1.94671227902358,0.0843698221736564,0.312304422400873
"P119","Diaphorobacter polyhydroxybutyrativorans",1546149,1,238749,"","bacteria",6,0.069178043,NA,NA,94.05,79.6667,1,0.011529674,NA,NA,91.4,123.611061246438,0.940799175749837,0.994240793132856
"P119","Shigella flexneri",623,1,620,"","bacteria",21,0.242123152,1,21,100,285,1,0.011529674,NA,NA,100,24.0889450566052,0.405720131616585,0.994240793132856
"P119","Anaerotignum propionicum",28446,1,2039240,"","bacteria",21,0.242123152,1,6,97.2577,154.381,0,0,NA,NA,0,2.71890448248873,0.00114225311262294,0.00494617149711254
"P119","Staphylococcus aureus",1280,1,1279,"","bacteria",43,0.495775977,3,41,99.7209,244.302,63,0.726369455,1,16,83.9103,1561.34650808164,0.969275821208867,0.994240793132856
"P119","Phycicoccus dokdonensis",443156,1,367298,"","bacteria",6,0.069178043,NA,NA,94.5167,139,0,0,NA,NA,0,102.274441064361,0.929346143924797,0.994240793132856
"P119","Klebsiella variicola",244366,1,570,"","bacteria",12,0.138356087,NA,NA,99.4917,147.333,7,0.080707717,NA,NA,81.3029,172.148847313045,0.922342475895084,0.994240793132856
"P119","Klebsiella oxytoca",571,1,570,"","bacteria",14,0.161415434,NA,NA,99.7571,93,2,0.023059348,NA,NA,100,242.407804091524,0.935471059773547,0.994240793132856
"P119","Klebsiella aerogenes",548,1,570,"","bacteria",6,0.069178043,NA,NA,99.55,112,6,0.069178043,NA,NA,98.9833,63.2622085350165,0.890072689193166,0.994240793132856
"P119","Klebsiella pneumoniae",573,1,570,"","bacteria",15,0.172945108,NA,NA,98.47,153.133,93,1.072259671,1,28,77.9883,199.530919349772,0.917835679941109,0.994240793132856
"P119","Akkermansia glycaniphila",1679444,1,239934,"","bacteria",6,0.069178043,NA,NA,90.7333,83.3333,0,0,NA,NA,0,19.1820679084683,0.69373587329379,0.994240793132856
"P119","Trypanosoma cruzi",5693,1,5690,"","eukaryota",8,0.092237391,NA,NA,95.45,73.25,0,0,NA,NA,0,145.851251158744,0.935762524468448,0.994240793132856
"P119","Thiomonas intermedia",926,1,32012,"","bacteria",6,0.069178043,NA,NA,87.1167,96,0,0,NA,NA,0,22.8658760432529,0.733964962555323,0.994240793132856
"P119","Parastagonospora nodorum",13684,1,1351751,"","eukaryota",8,0.092237391,NA,NA,91.4,85.5,0,0,NA,NA,0,40.4453890284569,0.795481578671631,0.994240793132856
