"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","padj","log2FoldChange","negLog10P","sig","direction"
"CREB1",0.00155870498608019,10.4724031373284,0.0190035268075084,0.984874904462166,0.998419475690512,-6.03047657589328,0.998419475690512,0.00155870498608019,0.0006869560045745,FALSE,"NotSignificant"
"COQ10A",0.0016042972731908,11.1399087502983,0.0188667433915264,0.984983758651337,0.998419475690512,-6.03047904282473,0.998419475690512,0.0016042972731908,0.0006869560045745,FALSE,"NotSignificant"
"NPPA",-0.00214227043936575,12.5799042180727,-0.0188191779907875,0.985021611940776,0.998419475690512,-6.03047989650557,0.998419475690512,-0.00214227043936575,0.0006869560045745,FALSE,"NotSignificant"
"BAG4",0.00200641213652457,10.9052148527221,0.0187844034284171,0.985049286102751,0.998419475690512,-6.03048051925902,0.998419475690512,0.00200641213652457,0.0006869560045745,FALSE,"NotSignificant"
"RABEP1",0.00236192553286565,12.433161347801,0.0187020639884697,0.985114813240154,0.998419475690512,-6.03048198922635,0.998419475690512,0.00236192553286565,0.0006869560045745,FALSE,"NotSignificant"
"NLGN4Y",0.00191816291857654,10.0889386791956,0.0183773033796393,0.985373264287341,0.998419475690512,-6.03048772406175,0.998419475690512,0.00191816291857654,0.0006869560045745,FALSE,"NotSignificant"
"NFATC4",0.00146304408528319,11.4247411155953,0.0182018299405581,0.985512910241598,0.998419475690512,-6.03049078088365,0.998419475690512,0.00146304408528319,0.0006869560045745,FALSE,"NotSignificant"
"PTP4A1",-0.00114602193370909,11.2051974006578,-0.0176548013565276,0.985948251525886,0.998419475690512,-6.03050012213158,0.998419475690512,-0.00114602193370909,0.0006869560045745,FALSE,"NotSignificant"
"FAM151A",-0.00129654555845273,11.6642403751228,-0.0174615213391533,0.986102070416425,0.998419475690512,-6.03050335450436,0.998419475690512,-0.00129654555845273,0.0006869560045745,FALSE,"NotSignificant"
"IGHG4",-0.00238593591277178,11.6805583505014,-0.017409675877214,0.986143330908958,0.998419475690512,-6.0305042155042,0.998419475690512,-0.00238593591277178,0.0006869560045745,FALSE,"NotSignificant"
"ARHGEF25",0.00113763739937723,10.9980222057313,0.0173006159227617,0.986230124885223,0.998419475690512,-6.03050601831047,0.998419475690512,0.00113763739937723,0.0006869560045745,FALSE,"NotSignificant"
"TRDMT1",0.00161269018607442,10.6153955405063,0.017281767723258,0.986245125001621,0.998419475690512,-6.03050632873091,0.998419475690512,0.00161269018607442,0.0006869560045745,FALSE,"NotSignificant"
"ACE2",0.00110227717220379,10.0521126746156,0.0170383552212066,0.986438842400501,0.998419475690512,-6.03051030721136,0.998419475690512,0.00110227717220379,0.0006869560045745,FALSE,"NotSignificant"
"PLAAT4",-0.001667861449907,12.0542871264833,-0.0170035668993046,0.98646652840416,0.998419475690512,-6.03051087120354,0.998419475690512,-0.001667861449907,0.0006869560045745,FALSE,"NotSignificant"
"MYZAP",0.000934711570894479,11.1721058515028,0.0166036366556674,0.986784810822102,0.998419475690512,-6.03051727212047,0.998419475690512,0.000934711570894479,0.0006869560045745,FALSE,"NotSignificant"
"IL17RE",-0.00189496371479885,10.657538629017,-0.016382666658165,0.986960669571383,0.998419475690512,-6.03052074342385,0.998419475690512,-0.00189496371479885,0.0006869560045745,FALSE,"NotSignificant"
"ITPRIPL1",0.00149229396018735,11.323434975786,0.0162232768725287,0.987087520170802,0.998419475690512,-6.03052321846772,0.998419475690512,0.00149229396018735,0.0006869560045745,FALSE,"NotSignificant"
"SYNJ2BP",-0.00158956736593859,10.2006430594224,-0.0162102629918644,0.987097877301872,0.998419475690512,-6.03052341948195,0.998419475690512,-0.00158956736593859,0.0006869560045745,FALSE,"NotSignificant"
"CT45A1",-0.00129799205918659,11.368045942844,-0.0160112085707868,0.987256295558998,0.998419475690512,-6.0305264740012,0.998419475690512,-0.00129799205918659,0.0006869560045745,FALSE,"NotSignificant"
"TCEAL1",0.00143900097373478,12.5071053233288,0.0159612327336487,0.98729606910917,0.998419475690512,-6.03052723496075,0.998419475690512,0.00143900097373478,0.0006869560045745,FALSE,"NotSignificant"
"PSMD9",-0.00321853991655421,12.1366008304033,-0.015854613229247,0.987380922946444,0.998419475690512,-6.03052885045654,0.998419475690512,-0.00321853991655421,0.0006869560045745,FALSE,"NotSignificant"
"GGPS1",0.00224206427433895,11.6816282767662,0.0156620431629923,0.987534181472799,0.998419475690512,-6.03053174083449,0.998419475690512,0.00224206427433895,0.0006869560045745,FALSE,"NotSignificant"
"SDHAF1",-0.00116328459556601,12.3714004938124,-0.0155894248798335,0.987591975473056,0.998419475690512,-6.03053282162653,0.998419475690512,-0.00116328459556601,0.0006869560045745,FALSE,"NotSignificant"
"PON1",-0.00130515199997296,10.0778101264111,-0.0155714368468805,0.987606291442507,0.998419475690512,-6.03053308856974,0.998419475690512,-0.00130515199997296,0.0006869560045745,FALSE,"NotSignificant"
"TXNL4A",0.00232855827955014,13.0879765202804,0.0154316897053819,0.987717510845318,0.998419475690512,-6.0305351519258,0.998419475690512,0.00232855827955014,0.0006869560045745,FALSE,"NotSignificant"
"ASAP2",0.0025027916365885,13.4502260934966,0.0153367510499091,0.987793069026873,0.998419475690512,-6.03053654307702,0.998419475690512,0.0025027916365885,0.0006869560045745,FALSE,"NotSignificant"
"TNFRSF14",-0.00117750035607441,11.3641555936831,-0.0152153135927101,0.987889716791221,0.998419475690512,-6.03053831000565,0.998419475690512,-0.00117750035607441,0.0006869560045745,FALSE,"NotSignificant"
"UBE2K",0.00505273762536944,14.5092758899223,0.0151679891220389,0.987927380707556,0.998419475690512,-6.03053899477852,0.998419475690512,0.00505273762536944,0.0006869560045745,FALSE,"NotSignificant"
"CCL3L3",-0.00167911394521556,11.737800511796,-0.0151636481585101,0.987930835532292,0.998419475690512,-6.03053905748433,0.998419475690512,-0.00167911394521556,0.0006869560045745,FALSE,"NotSignificant"
"SUN3",0.00101517561592868,11.9143079083982,0.0151428631112532,0.987947377645291,0.998419475690512,-6.03053935747847,0.998419475690512,0.00101517561592868,0.0006869560045745,FALSE,"NotSignificant"
"ZNF774",-0.00132254073140301,10.9083066255422,-0.0151328671257954,0.987955333112403,0.998419475690512,-6.03053950160569,0.998419475690512,-0.00132254073140301,0.0006869560045745,FALSE,"NotSignificant"
"HMGA2",-0.00119442676736446,10.7673473090602,-0.0148213856328953,0.988203231314025,0.998419475690512,-6.03054394501748,0.998419475690512,-0.00119442676736446,0.0006869560045745,FALSE,"NotSignificant"
